JURISDICTI3,DischargeJ_cf,DischargeJ_af,acres_juris_soc,QperArea_cfperacre
DANA POINT,17771829.209747273,407.98505991155355,4071.560352,4364.86940467861
LAGUNA BEACH,6149234.486162074,141.1669992231881,5632.041056,1091.8305504202763
LAGUNA NIGUEL,157510667.31312445,3615.947367151617,9463.773977,16643.536468212973
ORANGE CO,58891213.03719075,1351.9562221577307,94761.16102,621.4699398286324
LAGUNA HILLS,31041902.700039465,712.6240289265259,3498.38696,8873.204438207564
LAKE FOREST,16278539.846974146,373.70385323632104,3303.943395,4927.003250603253
MISSION VIEJO,36376940.35601519,835.0996408635259,11525.93439,3156.0946926416773
ALISO VIEJO,16511046.70574835,379.04147625684914,4298.475849,3841.1398099606604
RANCHO SANTA MARGARITA,33437183.604528937,767.6121121333548,8280.210526,4038.2045238506457
SAN CLEMENTE,21419711.885247238,491.7289229854738,11739.01617,1824.6598841891907
SAN JUAN CAPISTRANO,17734579.441339694,407.1299228957689,9220.309393,1923.425634155365
LAGUNA WOODS,1283173.952746596,29.457620586469144,756.0075789,1697.303027852749
