FacilityID,JURISDICTI3,Qadj_Qall,QJur_US
DP01-12022-1,DANA POINT,148336.53119999997,8772133.76646654
DP04-12015-1,LAGUNA BEACH,0,2052723.6240054537
DP04-12015-1,LAGUNA NIGUEL,0,93295528.12752546
DP04-12015-1,ORANGE CO,0,50348909.71779928
I00-11518-2,LAGUNA BEACH,116714.64959999998,2052723.6240054537
J01-9005-3,LAGUNA HILLS,322307.05870077235,29700585.041044578
J01-9005-3,LAGUNA NIGUEL,22952297.67706132,93295528.12752546
J01-9066-2 (J01P03),LAKE FOREST,22325.537299355063,9816302.525298405
J01-9066-2 (J01P03),MISSION VIEJO,2705701.975655455,20590302.797588076
J03-9216-1 (J03P01),LAGUNA NIGUEL,359919.1584,93295528.12752546
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,89094.15460799998,93295528.12752546
J07-9022-1,MISSION VIEJO,10652.142168,20590302.797588076
K01-12036-5,LAGUNA NIGUEL,1011726.8518895999,93295528.12752546
K01-12155-5,LAGUNA NIGUEL,1232948.189088,93295528.12752546
L01-125-3,ORANGE CO,7364.178543822233,50348909.71779928
L01-125-3,RANCHO SANTA MARGARITA,684334.367566777,9164169.394819276
L01-728-2,DANA POINT,23868.345838683457,8772133.76646654
L01-728-3 (L01S02),DANA POINT,14102.525237579173,8772133.76646654
L01-728-3 (L01S02),SAN CLEMENTE,328.9115623758307,12535713.901117152
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,147217.3470949733,2796618.332370469
L01-749-2d,SAN JUAN CAPISTRANO,1149444.1728,2796618.332370469
L01-760-2,ORANGE CO,525932.7716966401,50348909.71779928
L01-766-7,SAN JUAN CAPISTRANO,0,2796618.332370469
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,54369.791999999994,9164169.394819276
L02-374-2 (MVL02P20),MISSION VIEJO,148270.9536,20590302.797588076
L02-541-6,SAN JUAN CAPISTRANO,56547.3312,2796618.332370469
L02-622-1 (L02P28),RANCHO SANTA MARGARITA,288219.520512,9164169.394819276
L03-241-4,MISSION VIEJO,388524.5663039999,20590302.797588076
L03-316-2,MISSION VIEJO,24561.792,20590302.797588076
L03-418-2,LAGUNA NIGUEL,166881.84667199999,93295528.12752546
LC06-11509-2,LAGUNA BEACH,63359.86109271604,2052723.6240054537
LC06-11509-2,ORANGE CO,36605.083270954434,50348909.71779928
M02-052-2,ORANGE CO,410102.42568032787,50348909.71779928
M02-052-2,SAN CLEMENTE,6464450.7397396,12535713.901117152
M02-061-4 (SCBS@M02),SAN CLEMENTE,132428.65737600002,12535713.901117152
M02-061-6,SAN CLEMENTE,287604.43200000003,12535713.901117152
SC05-073-3,SAN CLEMENTE,61516.519199999995,12535713.901117152
SC06-146-2 (M00P02),SAN CLEMENTE,1399462.8391860474,12535713.901117152
SC07-079-5,SAN CLEMENTE,201525.9264,12535713.901117152
SM01-086-2,SAN CLEMENTE,416465.28,12535713.901117152
L04-301-1 (L04P08),MISSION VIEJO,718842.491136,20590302.797588076
SC11-130-2,DANA POINT,238439.21831999999,8772133.76646654
DP06-12106-1,DANA POINT,427893.83999999997,8772133.76646654
J01-10017-1 (J01TBN4),ALISO VIEJO,31112.350640999997,10698684.803913696
J01-10019-1 (J01P33),ALISO VIEJO,257003.81778735007,10698684.803913696
J01-9005-1 (J03P05),LAGUNA NIGUEL,1072403.8931159999,93295528.12752546
