JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
MISSION VIEJO,Total,d10-Acenaphthene,0.043967357674317815,0.09672706824849278,0.1406944259228106
LAGUNA WOODS,Total,d10-Acenaphthene,0.007018115902421674,0,0.007018115902421674
LAGUNA NIGUEL,Total,d10-Acenaphthene,0.05387428245705683,0.4182535739308203,0.47212785638787713
ALISO VIEJO,Total,d10-Acenaphthene,0.019876894010677007,0.05668771705184934,0.07656461106252635
RANCHO SANTA MARGARITA,Total,d10-Acenaphthene,0.0758265804872638,0.04070082366524819,0.11652740415251199
ORANGE CO,Total,d10-Acenaphthene,0.14333591100230925,0.23820792491702653,0.38154383591933577
LAGUNA HILLS,Total,d10-Acenaphthene,0.003769058475222646,0.16409186911230186,0.16786092758752452
LAKE FOREST,Total,d10-Acenaphthene,0.01336797615515755,0.049178101899298665,0.06254607805445622
LAGUNA BEACH,Total,d10-Acenaphthene,0.0017495932998537746,0.008649938912824829,0.010399532212678603
SAN JUAN CAPISTRANO,Total,d10-Acenaphthene,0.013538721790052199,0.013465025008801966,0.027003746798854165
DANA POINT,Total,d10-Acenaphthene,0.024178091560481278,0.045635497215978184,0.06981358877645946
SAN CLEMENTE,Total,d10-Acenaphthene,0.02111541887068469,0.0658344082305626,0.08694982710124728
MISSION VIEJO,Total,d10-Phenanthrene,0.050780146116492175,0.11193774786232,0.16271789397881217
LAGUNA WOODS,Total,d10-Phenanthrene,0.0075928123516010495,0,0.0075928123516010495
LAGUNA NIGUEL,Total,d10-Phenanthrene,0.051667602039595986,0.46411950109816885,0.5157871031377649
ALISO VIEJO,Total,d10-Phenanthrene,0.023080976631920998,0.06511991060448084,0.08820088723640185
RANCHO SANTA MARGARITA,Total,d10-Phenanthrene,0.11382096968463853,0.05561628615301484,0.16943725583765337
ORANGE CO,Total,d10-Phenanthrene,0.17300175524386696,0.2902948604313999,0.46329661567526687
LAGUNA HILLS,Total,d10-Phenanthrene,0.004067176094731782,0.17707088700819015,0.18113806310292194
LAKE FOREST,Total,d10-Phenanthrene,0.016384628032936478,0.05775745923998629,0.07414208727292276
LAGUNA BEACH,Total,d10-Phenanthrene,0.002035680598058672,0.010059558587507395,0.012095239185566067
SAN JUAN CAPISTRANO,Total,d10-Phenanthrene,0.01489223119182469,0.015494599280793187,0.03038683047261788
DANA POINT,Total,d10-Phenanthrene,0.023073791010534132,0.048327991551720885,0.07140178256225502
SAN CLEMENTE,Total,d10-Phenanthrene,0.029755199688253242,0.08510540142732458,0.11486060111557782
MISSION VIEJO,Total,d12-Chrysene,0.048577471841164385,0.11011675100714349,0.15869422284830786
LAGUNA WOODS,Total,d12-Chrysene,0.007987544003253206,0,0.007987544003253206
LAGUNA NIGUEL,Total,d12-Chrysene,0.05219259900646935,0.4710357917027689,0.5232283907092382
ALISO VIEJO,Total,d12-Chrysene,0.020699492395920897,0.05927581606305307,0.07997530845897396
RANCHO SANTA MARGARITA,Total,d12-Chrysene,0.11950169777325681,0.055125914783554025,0.17462761255681084
ORANGE CO,Total,d12-Chrysene,0.20147579045085112,0.29164193634987506,0.4931177268007262
LAGUNA HILLS,Total,d12-Chrysene,0.00428011725152402,0.18634161407668176,0.19062173132820578
LAKE FOREST,Total,d12-Chrysene,0.01335472580983508,0.05147614404412571,0.06483086985396079
LAGUNA BEACH,Total,d12-Chrysene,0.0024237254093104235,0.011981767234801802,0.014405492644112226
SAN JUAN CAPISTRANO,Total,d12-Chrysene,0.01440978207565546,0.016280240934467206,0.030690023010122667
DANA POINT,Total,d12-Chrysene,0.022956926161891603,0.053210989753830554,0.07616791591572215
SAN CLEMENTE,Total,d12-Chrysene,0.024577225082960025,0.06700827583645672,0.09158550091941674
MISSION VIEJO,Total,d8-Naphthalene,0.03242084854013772,0.07305410913119831,0.10547495767133602
LAGUNA WOODS,Total,d8-Naphthalene,0.005356260023491695,0,0.005356260023491695
LAGUNA NIGUEL,Total,d8-Naphthalene,0.04433887982282886,0.34617854552498706,0.3905174253478159
ALISO VIEJO,Total,d8-Naphthalene,0.01320835995653609,0.03877974163561712,0.05198810159215321
RANCHO SANTA MARGARITA,Total,d8-Naphthalene,0.0640847344895101,0.03232364610362582,0.09640838059313592
ORANGE CO,Total,d8-Naphthalene,0.11466813911697563,0.17635468899370813,0.29102282811068375
LAGUNA HILLS,Total,d8-Naphthalene,0.002874705616695238,0.125154815424637,0.12802952104133222
LAKE FOREST,Total,d8-Naphthalene,0.009822714429672585,0.03661547150757751,0.0464381859372501
LAGUNA BEACH,Total,d8-Naphthalene,0.0014698398047458864,0.007272356048930504,0.008742195853676391
SAN JUAN CAPISTRANO,Total,d8-Naphthalene,0.011815535414970567,0.011740978046572864,0.02355651346154343
DANA POINT,Total,d8-Naphthalene,0.020465789386379284,0.03997669556119689,0.060442484947576175
SAN CLEMENTE,Total,d8-Naphthalene,0.01708664379161462,0.050182840151974155,0.06726948394358878
MISSION VIEJO,Total,PCB030,0.04071487042609705,0.09094272529675566,0.1316575957228527
LAGUNA WOODS,Total,PCB030,0.007731263827144745,0,0.007731263827144745
LAGUNA NIGUEL,Total,PCB030,0.050195428300562187,0.4178895586358414,0.46808498693640355
ALISO VIEJO,Total,PCB030,0.019608883457268366,0.05435007923527824,0.0739589626925466
RANCHO SANTA MARGARITA,Total,PCB030,0.07415327532753604,0.03967921664553815,0.11383249197307418
ORANGE CO,Total,PCB030,0.11374288616566804,0.22383911511995794,0.337582001285626
LAGUNA HILLS,Total,PCB030,0.004173646673127902,0.18170625054243592,0.1858798972155638
LAKE FOREST,Total,PCB030,0.013685527650510678,0.051782549663435984,0.06546807731394666
LAGUNA BEACH,Total,PCB030,0.002098234797384127,0.010347889884601552,0.012446124681985679
SAN JUAN CAPISTRANO,Total,PCB030,0.013479586819412559,0.013094027561233679,0.02657361438064624
DANA POINT,Total,PCB030,0.019522140765512754,0.04116321848881232,0.06068535925432507
SAN CLEMENTE,Total,PCB030,0.0167177533468327,0.05536742207800657,0.07208517542483928
MISSION VIEJO,Total,PCB112,0.046019402331136106,0.10058329688298419,0.14660269921412028
LAGUNA WOODS,Total,PCB112,0.007048793404023605,0,0.007048793404023605
LAGUNA NIGUEL,Total,PCB112,0.058126878979760106,0.4593873022634423,0.5175141812432025
ALISO VIEJO,Total,PCB112,0.020573131063244925,0.05785653596013491,0.07842966702337983
RANCHO SANTA MARGARITA,Total,PCB112,0.1162721771179905,0.05389998635990197,0.17017216347789246
ORANGE CO,Total,PCB112,0.12532705783930123,0.26941518369503464,0.3947422415343359
LAGUNA HILLS,Total,PCB112,0.0037903525909018703,0.16501894181915103,0.1688092944100529
LAKE FOREST,Total,PCB112,0.014031507770156274,0.05086333280550517,0.06489484057566144
LAGUNA BEACH,Total,PCB112,0.0022811312555527548,0.011244920586672277,0.013526051842225032
SAN JUAN CAPISTRANO,Total,PCB112,0.01329748150064479,0.012963087285621342,0.026260568786266134
DANA POINT,Total,PCB112,0.020970148277582923,0.04116321848881232,0.06213336676639524
SAN CLEMENTE,Total,PCB112,0.023110405054341088,0.07219285776248913,0.09530326281683021
MISSION VIEJO,Total,PCB198,0.04839154558456438,0.10251141120022988,0.15090295678479426
LAGUNA WOODS,Total,PCB198,0.007217971066992077,0,0.007217971066992077
LAGUNA NIGUEL,Total,PCB198,0.06358879204394621,0.5085293670856015,0.5721181591295477
ALISO VIEJO,Total,PCB198,0.02083602218749532,0.06311622104741989,0.08395224323491521
RANCHO SANTA MARGARITA,Total,PCB198,0.14326506677900347,0.06448383508409804,0.20774890186310152
ORANGE CO,Total,PCB198,0.1354581605011977,0.30331659430999325,0.43877475481119094
LAGUNA HILLS,Total,PCB198,0.003875529053618765,0.16872723264654765,0.17260276170016642
LAKE FOREST,Total,PCB198,0.020334094145820412,0.0663368165806739,0.08667091072649431
LAGUNA BEACH,Total,PCB198,0.002379221619481432,0.01172547274849588,0.014104694367977313
SAN JUAN CAPISTRANO,Total,PCB198,0.014282376345092756,0.013465025008801966,0.027747401353894724
DANA POINT,Total,PCB198,0.023919636001006266,0.0426691898969396,0.06658882589794587
SAN CLEMENTE,Total,PCB198,0.027557075817454604,0.07698615048655684,0.10454322630401144
MISSION VIEJO,Total,TCMX,0.034794344794256096,0.07594628060706687,0.11074062540132297
LAGUNA WOODS,Total,TCMX,0.0062858587044140116,0,0.0062858587044140116
LAGUNA NIGUEL,Total,TCMX,0.043461410823058266,0.3414463466902606,0.38490775751331885
ALISO VIEJO,Total,TCMX,0.015235256616836862,0.043413273736320555,0.05864853035315742
RANCHO SANTA MARGARITA,Total,TCMX,0.04689631611966855,0.029667467852379704,0.07656378397204826
ORANGE CO,Total,TCMX,0.09281978923728638,0.17265023021790138,0.2654700194551878
