JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
ALISO VIEJO,Total,"Cadmium, Total",0.191874778,0.817583915,1.009458693
DANA POINT,Total,"Cadmium, Total",0.456093056,0.345232536,0.801325592
LAGUNA BEACH,Total,"Cadmium, Total",0.002595188,0.012814724,0.015409912
LAGUNA HILLS,Total,"Cadmium, Total",0.018951763,0.788011801,0.806963564
LAGUNA NIGUEL,Total,"Cadmium, Total",1.593923549,6.44949452,8.04341807
LAGUNA WOODS,Total,"Cadmium, Total",0.034853971,0,0.034853971
LAKE FOREST,Total,"Cadmium, Total",0.03367294,0.16086295,0.19453589
MISSION VIEJO,Total,"Cadmium, Total",3.895164463,4.675677219,8.570841682
UNINCORPORATED,Total,"Cadmium, Total",1.963040466,11.16666066,13.12970113
RANCHO SANTA MARGARITA,Total,"Cadmium, Total",0.252377826,1.24717785,1.499555676
SAN CLEMENTE,Total,"Cadmium, Total",0.979023605,49.21244293,50.19146654
SAN JUAN CAPISTRANO,Total,"Cadmium, Total",0.016286058,0.017458703,0.033744762
ALISO VIEJO,Total,"Chromium, Total",0.217271718,0.458807803,0.676079521
DANA POINT,Total,"Chromium, Total",0.177797371,0.255844006,0.433641378
LAGUNA BEACH,Total,"Chromium, Total",0.006015441,0.017171731,0.023187172
LAGUNA HILLS,Total,"Chromium, Total",0.017461175,0.750928893,0.768390067
LAGUNA NIGUEL,Total,"Chromium, Total",0.39274655,2.127115463,2.519862012
LAGUNA WOODS,Total,"Chromium, Total",0.032557185,0,0.032557185
LAKE FOREST,Total,"Chromium, Total",0.088358475,0.209581444,0.297939919
MISSION VIEJO,Total,"Chromium, Total",0.281456778,0.383837572,0.665294351
UNINCORPORATED,Total,"Chromium, Total",0.98693562,1.361879722,2.348815342
RANCHO SANTA MARGARITA,Total,"Chromium, Total",0.503603392,0.173596573,0.677199965
SAN CLEMENTE,Total,"Chromium, Total",0.179718688,0.459275701,0.638994389
SAN JUAN CAPISTRANO,Total,"Chromium, Total",0.079254238,0.076963784,0.156218022
ALISO VIEJO,Total,"Copper, Total",1.031357734,2.859431972,3.890789706
DANA POINT,Total,"Copper, Total",2.212640255,3.566414107,5.779054362
LAGUNA BEACH,Total,"Copper, Total",0.049633613,0.235470559,0.285104172
LAGUNA HILLS,Total,"Copper, Total",0.215070568,7.555642561,7.770713129
LAGUNA NIGUEL,Total,"Copper, Total",4.881184871,29.83105342,34.71223829
LAGUNA WOODS,Total,"Copper, Total",0.40476955,0,0.40476955
LAKE FOREST,Total,"Copper, Total",0.787323764,2.190800178,2.978123942
MISSION VIEJO,Total,"Copper, Total",3.031207165,6.700197252,9.731404417
UNINCORPORATED,Total,"Copper, Total",6.30328304,11.88794498,18.19122802
RANCHO SANTA MARGARITA,Total,"Copper, Total",5.119427672,2.727690743,7.847118414
SAN CLEMENTE,Total,"Copper, Total",1.024274472,3.374869367,4.399143838
SAN JUAN CAPISTRANO,Total,"Copper, Total",0.90245915,1.035519346,1.937978496
ALISO VIEJO,Total,Enterococcus,1.45577E+13,7.44012E+13,8.89589E+13
DANA POINT,Total,Enterococcus,5.81314E+12,1.42545E+13,2.00677E+13
LAGUNA BEACH,Total,Enterococcus,41899755569,2.03443E+11,2.45343E+11
LAGUNA HILLS,Total,Enterococcus,3.40957E+11,1.48441E+13,1.51851E+13
LAGUNA NIGUEL,Total,Enterococcus,1.30873E+13,1.64643E+14,1.77731E+14
LAGUNA WOODS,Total,Enterococcus,9.77863E+11,0,9.77863E+11
LAKE FOREST,Total,Enterococcus,3.30788E+12,9.4717E+12,1.27796E+13
MISSION VIEJO,Total,Enterococcus,1.54185E+13,4.12217E+13,5.66402E+13
UNINCORPORATED,Total,Enterococcus,2.9747E+13,7.27117E+13,1.02459E+14
RANCHO SANTA MARGARITA,Total,Enterococcus,3.97179E+13,2.7596E+13,6.73139E+13
SAN CLEMENTE,Total,Enterococcus,1.46981E+13,2.09611E+13,3.56592E+13
SAN JUAN CAPISTRANO,Total,Enterococcus,7.53891E+12,3.75829E+12,1.12972E+13
ALISO VIEJO,Total,Fecal coliforms,7.46876E+12,2.02165E+13,2.76853E+13
DANA POINT,Total,Fecal coliforms,2.80765E+12,7.76956E+12,1.05772E+13
LAGUNA BEACH,Total,Fecal coliforms,2.46492E+11,1.19159E+12,1.43809E+12
LAGUNA HILLS,Total,Fecal coliforms,3.47718E+11,1.51385E+13,1.54862E+13
LAGUNA NIGUEL,Total,Fecal coliforms,8.42927E+12,8.13382E+13,8.97675E+13
LAGUNA WOODS,Total,Fecal coliforms,1.35909E+12,0,1.35909E+12
LAKE FOREST,Total,Fecal coliforms,9.34575E+11,3.82204E+12,4.75661E+12
MISSION VIEJO,Total,Fecal coliforms,8.20227E+12,1.99768E+13,2.81791E+13
UNINCORPORATED,Total,Fecal coliforms,3.90915E+12,8.2138E+13,8.60471E+13
RANCHO SANTA MARGARITA,Total,Fecal coliforms,6.55104E+13,2.33833E+13,8.88937E+13
SAN CLEMENTE,Total,Fecal coliforms,1.09212E+13,2.17769E+13,3.26981E+13
SAN JUAN CAPISTRANO,Total,Fecal coliforms,8.96215E+12,3.24571E+12,1.22079E+13
ALISO VIEJO,Total,"Iron, Total",20.29148249,55.04873415,75.34021663
DANA POINT,Total,"Iron, Total",92.8160385,82.43596217,175.2520007
LAGUNA BEACH,Total,"Iron, Total",2.119650852,5.125889726,7.245540578
LAGUNA HILLS,Total,"Iron, Total",1.490588098,27.81218121,29.3027693
LAGUNA NIGUEL,Total,"Iron, Total",130.5817149,394.724949,525.3066638
LAGUNA WOODS,Total,"Iron, Total",6.71121281,0,6.71121281
LAKE FOREST,Total,"Iron, Total",30.70122815,34.56255386,65.26378201
MISSION VIEJO,Total,"Iron, Total",130.8929205,126.0558294,256.9487498
UNINCORPORATED,Total,"Iron, Total",449.505149,235.0285361,684.533685
RANCHO SANTA MARGARITA,Total,"Iron, Total",512.9933862,57.17423686,570.167623
SAN CLEMENTE,Total,"Iron, Total",83.67233547,63.69318676,147.3655222
SAN JUAN CAPISTRANO,Total,"Iron, Total",28.12538411,27.88154935,56.00693346
ALISO VIEJO,Total,"Lead, Total",0.029645856,0.113356881,0.143002738
DANA POINT,Total,"Lead, Total",0.031002009,0.071191376,0.102193385
LAGUNA BEACH,Total,"Lead, Total",0.002595188,0.012814724,0.015409912
