JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
DANA POINT,8772133.76646654,Total,d10-Acenaphthene,83.33333333333333,ng/L,731011147.205545,0.045635497215978184
DANA POINT,8772133.76646654,Total,d10-Phenanthrene,88.25,ng/L,774140804.8906721,0.048327991551720885
DANA POINT,8772133.76646654,Total,d12-Chrysene,97.16666666666667,ng/L,852358997.6416655,0.053210989753830554
DANA POINT,8772133.76646654,Total,d8-Naphthalene,73,ng/L,640365764.9520574,0.03997669556119689
DANA POINT,8772133.76646654,Total,PCB030,75.16666666666667,ng/L,659372054.7794015,0.04116321848881232
DANA POINT,8772133.76646654,Total,PCB112,75.16666666666667,ng/L,659372054.7794015,0.04116321848881232
DANA POINT,8772133.76646654,Total,PCB198,77.91666666666667,ng/L,683495422.6371846,0.0426691898969396
DANA POINT,8772133.76646654,Total,TCMX,63.083333333333336,ng/L,553375438.4345975,0.03454607139249548
DANA POINT,8772133.76646654,Total,"2,4'-DDD",1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,"2,4'-DDE",1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,"2,4'-DDT",1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,"4,4'-DDD",1.1857142857142857,ng/L,10401244.323096039,6.49327931815918e-4
DANA POINT,8772133.76646654,Total,"4,4'-DDE",1.8985714285714284,ng/L,16654522.536620041,0.0010397070137148855
DANA POINT,8772133.76646654,Total,"4,4'-DDT",1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Acenaphthene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Acenaphthylene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Aldrin,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Anthracene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Benz[a]anthracene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Benzo[a]pyrene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Benzo[b]fluoranthene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,"Benzo[g,h,i]perylene",2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Benzo[k]fluoranthene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,BHC-alpha,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,BHC-beta,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,BHC-delta,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,BHC-gamma,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Bolstar (Sulprofos),2,ng/L,17544267.53293308,0.0010952519331834762
DANA POINT,8772133.76646654,Total,Chlordane-alpha,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Chlordane-gamma,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Chlorpyrifos,0.5,ng/L,4386066.88323327,2.7381298329586906e-4
DANA POINT,8772133.76646654,Total,Chrysene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Demeton,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Diazinon,0.5,ng/L,4386066.88323327,2.7381298329586906e-4
DANA POINT,8772133.76646654,Total,"Dibenz[a,h]anthracene",2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Dichlorvos,3,ng/L,26316401.299399618,0.0016428778997752142
DANA POINT,8772133.76646654,Total,Dieldrin,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Dimethoate,5,ng/L,43860668.8323327,0.002738129832958691
DANA POINT,8772133.76646654,Total,Disulfoton,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Endosulfan-I,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Endosulfan-II,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Endosulfan Sulfate,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Endrin,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Endrin Aldehyde,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Ethoprop (Ethoprofos),1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Fenchlorphos (Ronnel),2,ng/L,17544267.53293308,0.0010952519331834762
DANA POINT,8772133.76646654,Total,Fensulfothion,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Fenthion,2,ng/L,17544267.53293308,0.0010952519331834762
DANA POINT,8772133.76646654,Total,Fluoranthene,3.693333333333333,ng/L,32398414.04414975,0.0020225652366121527
DANA POINT,8772133.76646654,Total,Fluorene,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Heptachlor,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Heptachlor Epoxide,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Malathion,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Merphos,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Methoxychlor,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Methyl Parathion,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Mevinphos (Phosdrin),5,ng/L,43860668.8323327,0.002738129832958691
DANA POINT,8772133.76646654,Total,Mirex,2.5,ng/L,21930334.41616635,0.0013690649164793455
DANA POINT,8772133.76646654,Total,Naphthalene,4.656666666666667,ng/L,40848902.90584586,0.0025501115844288606
DANA POINT,8772133.76646654,Total,Phenanthrene,4.23,ng/L,37106125.83215346,0.0023164578386830523
DANA POINT,8772133.76646654,Total,Phorate,5,ng/L,43860668.8323327,0.002738129832958691
DANA POINT,8772133.76646654,Total,Pyrene,3.912,ng/L,34316587.2944171,0.0021423127813068794
DANA POINT,8772133.76646654,Total,Tetrachlorvinphos (Stirofos),2,ng/L,17544267.53293308,0.0010952519331834762
DANA POINT,8772133.76646654,Total,Tokuthion (Prothiofos),3,ng/L,26316401.299399618,0.0016428778997752142
DANA POINT,8772133.76646654,Total,Toxaphene,12.5,ng/L,109651672.08083174,0.006845324582396726
DANA POINT,8772133.76646654,Total,trans-Nonachlor,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,Trichloronate,1,ng/L,8772133.76646654,5.476259665917381e-4
DANA POINT,8772133.76646654,Total,"Arsenic, Total",2.04875,ug/L,17971909.054048322,1.1219486990548235
DANA POINT,8772133.76646654,Dissolved,"Arsenic, Total",2.04875,ug/L,17971909.054048322,1.1219486990548235
DANA POINT,8772133.76646654,Total,"Cadmium, Total",0.6304166666666666,ug/L,5530099.328609947,0.3452325364388749
DANA POINT,8772133.76646654,Dissolved,"Cadmium, Total",0.6304166666666666,ug/L,5530099.328609947,0.3452325364388749
DANA POINT,8772133.76646654,Total,"Calcium, Total",172.4,ug/L,1512315861.3388314,94.41071664041566
