JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
DANA POINT,Total,d10-Acenaphthene,ng/L,0.045635497215978184,0.045635497215978184
DANA POINT,Total,d10-Phenanthrene,ng/L,0.048327991551720885,0.048327991551720885
DANA POINT,Total,d12-Chrysene,ng/L,0.053210989753830554,0.053210989753830554
DANA POINT,Total,d8-Naphthalene,ng/L,0.03997669556119689,0.03997669556119689
DANA POINT,Total,PCB030,ng/L,0.04116321848881232,0.04116321848881232
DANA POINT,Total,PCB112,ng/L,0.04116321848881232,0.04116321848881232
DANA POINT,Total,PCB198,ng/L,0.0426691898969396,0.0426691898969396
DANA POINT,Total,TCMX,ng/L,0.03454607139249548,0.03454607139249548
DANA POINT,Total,"2,4'-DDD",ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,"2,4'-DDE",ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,"2,4'-DDT",ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,"4,4'-DDD",ng/L,6.49327931815918e-4,6.49327931815918e-4
DANA POINT,Total,"4,4'-DDE",ng/L,0.0010397070137148855,0.0010397070137148855
DANA POINT,Total,"4,4'-DDT",ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Acenaphthene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Acenaphthylene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Aldrin,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Anthracene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Benz[a]anthracene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Benzo[a]pyrene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Benzo[b]fluoranthene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,"Benzo[g,h,i]perylene",ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Benzo[k]fluoranthene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,BHC-alpha,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,BHC-beta,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,BHC-delta,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,BHC-gamma,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Bolstar (Sulprofos),ng/L,0.0010952519331834762,0.0010952519331834762
DANA POINT,Total,Chlordane-alpha,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Chlordane-gamma,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Chlorpyrifos,ng/L,2.7381298329586906e-4,2.7381298329586906e-4
DANA POINT,Total,Chrysene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Demeton,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Diazinon,ng/L,2.7381298329586906e-4,2.7381298329586906e-4
DANA POINT,Total,"Dibenz[a,h]anthracene",ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Dichlorvos,ng/L,0.0016428778997752142,0.0016428778997752142
DANA POINT,Total,Dieldrin,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Dimethoate,ng/L,0.002738129832958691,0.002738129832958691
DANA POINT,Total,Disulfoton,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Endosulfan-I,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Endosulfan-II,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Endosulfan Sulfate,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Endrin,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Endrin Aldehyde,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Ethoprop (Ethoprofos),ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Fenchlorphos (Ronnel),ng/L,0.0010952519331834762,0.0010952519331834762
DANA POINT,Total,Fensulfothion,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Fenthion,ng/L,0.0010952519331834762,0.0010952519331834762
DANA POINT,Total,Fluoranthene,ng/L,0.0020225652366121527,0.0020225652366121527
DANA POINT,Total,Fluorene,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Heptachlor,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Heptachlor Epoxide,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Malathion,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Merphos,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Methoxychlor,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Methyl Parathion,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Mevinphos (Phosdrin),ng/L,0.002738129832958691,0.002738129832958691
DANA POINT,Total,Mirex,ng/L,0.0013690649164793455,0.0013690649164793455
DANA POINT,Total,Naphthalene,ng/L,0.0025501115844288606,0.0025501115844288606
DANA POINT,Total,Phenanthrene,ng/L,0.0023164578386830523,0.0023164578386830523
DANA POINT,Total,Phorate,ng/L,0.002738129832958691,0.002738129832958691
DANA POINT,Total,Pyrene,ng/L,0.0021423127813068794,0.0021423127813068794
DANA POINT,Total,Tetrachlorvinphos (Stirofos),ng/L,0.0010952519331834762,0.0010952519331834762
DANA POINT,Total,Tokuthion (Prothiofos),ng/L,0.0016428778997752142,0.0016428778997752142
DANA POINT,Total,Toxaphene,ng/L,0.006845324582396726,0.006845324582396726
DANA POINT,Total,trans-Nonachlor,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,Trichloronate,ng/L,5.476259665917381e-4,5.476259665917381e-4
DANA POINT,Total,"Arsenic, Total",ug/L,1.1219486990548235,1.1219486990548235
DANA POINT,Dissolved,"Arsenic, Total",ug/L,1.1219486990548235,1.1219486990548235
DANA POINT,Total,"Cadmium, Total",ug/L,0.3452325364388749,0.3452325364388749
DANA POINT,Dissolved,"Cadmium, Total",ug/L,0.3452325364388749,0.3452325364388749
DANA POINT,Total,"Calcium, Total",ug/L,94.41071664041566,94.41071664041566
DANA POINT,Total,Chromium 6+,ug/L,0.09784902538780235,0.09784902538780235
DANA POINT,Dissolved,Chromium 6+,ug/L,0.09784902538780235,0.09784902538780235
DANA POINT,Total,"Chromium, Total",ug/L,0.2558440062670777,0.2558440062670777
DANA POINT,Dissolved,"Chromium, Total",ug/L,0.2558440062670777,0.2558440062670777
DANA POINT,Total,"Copper, Total",ug/L,3.566414107428695,3.566414107428695
DANA POINT,Dissolved,"Copper, Total",ug/L,3.566414107428695,3.566414107428695
DANA POINT,Total,Dissolved Organic Carbon,ug/L,5.261772829002285,5.261772829002285
DANA POINT,Total,"Hardness as CaCO3, Total",ug/L,455.25972022659835,455.25972022659835
DANA POINT,Total,"Iron, Total",ug/L,82.43596217094297,82.43596217094297
DANA POINT,Dissolved,"Iron, Total",ug/L,82.43596217094297,82.43596217094297
DANA POINT,Total,"Lead, Total",ug/L,0.07119137565692597,0.07119137565692597
DANA POINT,Dissolved,"Lead, Total",ug/L,0.07119137565692597,0.07119137565692597
DANA POINT,Total,"Magnesium, Total",ug/L,53.288570099097726,53.288570099097726
DANA POINT,Total,"Manganese, Total",ug/L,72.54674992424053,72.54674992424053
DANA POINT,Dissolved,"Manganese, Total",ug/L,72.54674992424053,72.54674992424053
DANA POINT,Total,MBAS,mg/L,37.74707555435909,37.74707555435909
DANA POINT,Total,"Mercury, Total",ug/L,0.013690649164793454,0.013690649164793454
DANA POINT,Dissolved,"Mercury, Total",ug/L,0.013690649164793454,0.013690649164793454
DANA POINT,Total,"Nickel, Total",ug/L,5.184844419409636,5.184844419409636
DANA POINT,Dissolved,"Nickel, Total",ug/L,5.184844419409636,5.184844419409636
DANA POINT,Total,"Selenium, Total",ug/L,2.3148931930642185,2.3148931930642185
DANA POINT,Dissolved,"Selenium, Total",ug/L,2.3148931930642185,2.3148931930642185
DANA POINT,Total,"Silver, Total",ug/L,0.054762596659173816,0.054762596659173816
DANA POINT,Dissolved,"Silver, Total",ug/L,0.054762596659173816,0.054762596659173816
DANA POINT,Total,"Thallium, Total",ug/L,0.054762596659173816,0.054762596659173816
DANA POINT,Dissolved,"Thallium, Total",ug/L,0.054762596659173816,0.054762596659173816
